fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.04123,0.00978,0.01207,0.95918,0.00054,4.06936,0.86736,11.36334,0.67932,1.29138,0.00896,0.6999,0.41781,0.0,0.08935,0.5937,0.0,0.0,0.0,0.65617,0.0,0.96688,0.0,0.0
0.04066,0.0093,0.01204,0.9236,0.00055,3.41792,0.95,8.31945,0.81145,1.64936,0.0131,0.88012,0.43553,0.0,0.07752,0.50822,0.0,0.0,0.0,0.61382,0.0,1.0,0.0,0.0
0.03892,0.00959,0.01223,0.96037,0.00055,4.01554,0.84752,11.45316,0.7048,1.27793,0.00854,0.71047,0.39717,0.0,0.09013,0.60059,0.0,0.0,0.0,0.6483,0.0,0.94574,0.0,0.0
0.04307,0.00962,0.01118,0.93152,0.00055,3.02014,0.81662,7.7808,0.79906,1.50741,0.01296,0.84294,0.4,0.0,0.0848,0.51206,0.0,0.0,0.0,0.62722,0.0,0.97573,0.0,0.0
0.0395,0.00971,0.01096,0.96027,0.00054,4.23772,0.8624,11.33034,0.68102,1.31277,0.00851,0.76568,0.43519,0.0,0.09438,0.56478,0.0,0.0,0.0,0.69628,0.0,0.96724,0.0,0.0
0.03006,0.00948,0.01158,0.9394,0.0006,3.90591,0.82811,10.96614,0.7902,1.39208,0.00917,0.77424,0.42652,0.0,0.09189,0.51936,0.0,0.0,0.0,0.70008,0.0,1.0,0.0,0.0
0.03672,0.00886,0.01034,0.9618,0.00065,4.08705,0.95,14.15466,0.62285,1.51093,0.00771,0.9,0.43848,0.0,0.09299,0.41045,0.0,0.0,0.0,0.67154,0.0,0.63057,0.0,0.0
0.04265,0.01111,0.01219,0.95876,0.00054,3.85266,0.79827,14.10189,0.68888,1.3433,0.00943,0.86084,0.32796,0.0,0.09013,0.6427,0.0,0.0,0.0,0.67154,0.0,0.94476,0.0,0.0
0.04378,0.00894,0.01288,0.97754,0.00052,4.51348,0.92208,11.57259,0.68523,1.30075,0.00894,0.79151,0.42613,0.0,0.09013,0.58886,0.0,0.0,0.0,0.67154,0.0,0.88428,0.0,0.0
0.04348,0.00948,0.00998,0.91909,0.00068,3.13747,0.95,8.79752,0.72238,1.53955,0.00888,0.65571,0.52552,0.0,0.12914,0.58462,0.0,0.0,0.0,0.72027,0.0,0.78665,0.0,0.0
0.04015,0.00948,0.01191,0.96937,0.00053,4.09411,0.8624,11.57259,0.65903,1.20907,0.0094,0.69697,0.42613,0.0,0.08934,0.57907,0.0,0.0,0.0,0.6658,0.0,0.96723,0.0,0.0
0.04998,0.01147,0.01351,0.88892,0.00058,4.25703,0.85414,10.98574,0.69641,1.41971,0.00981,0.79185,0.51136,0.0,0.10077,0.56237,0.0,0.0,0.0,0.63985,0.0,0.84755,0.0,0.0
0.04173,0.00978,0.01415,0.96755,0.00051,3.97782,0.75691,10.15012,0.65448,1.27867,0.00903,0.68902,0.40042,0.0,0.08687,0.58462,0.0,0.0,0.0,0.63145,0.0,0.96724,0.0,0.0
0.03589,0.00948,0.0117,0.96898,0.00054,4.09411,0.85768,11.64937,0.68038,1.30536,0.00886,0.71991,0.42715,0.0,0.09013,0.58462,0.0,0.0,0.0,0.67191,0.0,0.97286,0.0,0.0
0.0419,0.01075,0.01351,0.90761,0.00056,4.41361,0.91831,9.92992,0.75282,1.49071,0.00917,0.79185,0.50654,0.0,0.10657,0.57069,0.0,0.0,0.0,0.63985,0.0,0.88102,0.0,0.0
0.04129,0.00938,0.01173,0.94681,0.0006,4.09411,0.69497,13.02797,0.69192,1.30075,0.00787,0.71248,0.48102,0.0,0.0858,0.63145,0.0,0.0,0.0,0.62893,0.0,1.0,0.0,0.0
0.04125,0.01053,0.01351,0.88892,0.00055,3.3608,0.72779,14.71423,0.77587,0.73656,0.00713,0.82264,0.51136,0.0,0.09091,0.74923,0.0,0.0,0.0,0.64738,0.0,0.89248,0.0,0.0
0.03359,0.00959,0.01193,0.89048,0.00058,5.0,0.76045,11.6783,0.63608,1.29138,0.00925,0.49687,0.34398,0.0,0.07797,0.35455,0.0,0.0,0.0,0.60322,0.0,1.0,0.0,0.0
0.04084,0.0079,0.01362,0.88892,0.00058,5.0,0.90642,10.98574,0.67503,1.57389,0.01021,0.79185,0.43562,0.0,0.09138,0.60167,0.0,0.0,0.0,0.65135,0.0,0.84755,0.0,0.0
0.04288,0.0086,0.01239,0.95816,0.00054,4.0662,0.8624,12.07873,0.73253,1.36395,0.00882,0.76138,0.41694,0.0,0.08933,0.55304,0.0,0.0,0.0,0.64373,0.0,0.82505,0.0,0.0
0.0477,0.00953,0.01184,0.95529,0.00054,3.99133,0.8624,11.56706,0.67763,1.29651,0.00885,0.69478,0.42019,0.0,0.09013,0.60335,0.0,0.0,0.0,0.6483,0.0,0.99058,0.0,0.0
0.04404,0.00783,0.01173,0.9699,0.00042,4.09411,0.95,10.9821,0.67802,1.44414,0.00885,0.54267,0.44749,0.0,0.09013,0.74399,0.0,0.0,0.0,0.44639,0.0,0.89717,0.0,0.0
0.05038,0.01001,0.01522,0.98,0.00054,4.67824,0.8624,11.60888,0.77509,1.50605,0.00928,0.71747,0.40581,0.0,0.07973,0.58462,0.0,0.0,0.0,0.5307,0.0,1.0,0.0,0.0
0.0344,0.01019,0.01644,0.97703,0.00054,4.65988,0.84308,10.66831,0.78317,1.50605,0.00928,0.71747,0.40413,0.0,0.07301,0.60801,0.0,0.0,0.0,0.5195,0.0,0.97917,0.0,0.0
0.04167,0.00735,0.01349,0.98,0.00057,4.91852,0.95,11.70624,0.9225,1.37265,0.00897,0.71747,0.32716,0.0,0.08336,0.47337,0.0,0.0,0.0,0.5307,0.0,1.0,0.0,0.0
0.04253,0.00977,0.01522,0.96586,0.00057,4.67824,0.8624,11.14579,0.68434,1.54641,0.01081,0.71747,0.4517,0.0,0.07394,0.64218,0.0,0.0,0.0,0.42871,0.0,0.8331,0.0,0.0
0.04694,0.01293,0.01367,0.88113,0.00062,4.85977,0.71375,11.75151,0.61619,1.49106,0.00884,0.79185,0.4644,0.0,0.10077,0.55237,0.0,0.0,0.0,0.70219,0.0,0.65739,0.0,0.0
0.04831,0.01147,0.01351,0.88892,0.00051,3.81997,0.85414,11.82093,0.75113,1.36721,0.00705,0.79185,0.51136,0.0,0.11252,0.56237,0.0,0.0,0.0,0.44674,0.0,0.84755,0.0,0.0
0.05161,0.00959,0.01522,0.98,0.00057,4.52859,0.95,11.60888,0.88485,1.35421,0.00928,0.71881,0.40581,0.0,0.08016,0.58462,0.0,0.0,0.0,0.53756,0.0,1.0,0.0,0.0
0.04054,0.01217,0.01229,0.88892,0.00051,4.25703,0.95,9.42899,0.69043,1.41971,0.01083,0.77238,0.41832,0.0,0.10077,0.56237,0.0,0.0,0.0,0.75335,0.0,0.84755,0.0,0.0
0.03833,0.00905,0.0144,0.96699,0.00058,5.0,0.81536,11.05882,0.70706,1.35421,0.00886,0.74526,0.40581,0.0,0.08253,0.58462,0.0,0.0,0.0,0.51082,0.0,1.0,0.0,0.0
0.04333,0.01205,0.01401,0.88892,0.00055,4.34841,0.85414,11.03322,0.65199,1.41971,0.00893,0.79185,0.51649,0.0,0.10281,0.53118,0.0,0.0,0.0,0.63495,0.0,0.84755,0.0,0.0
0.03306,0.01008,0.01469,0.97394,0.00062,4.54877,0.95,12.03657,0.85931,1.35421,0.00934,0.66738,0.38304,0.0,0.08016,0.62846,0.0,0.0,0.0,0.59014,0.0,1.0,0.0,0.0
